School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Adequate Yearly Progress Made? ,Healthy Schools Certified?,Safety Icon ,Family Involvement Icon,Environment Icon ,Instruction Icon ,Leaders Icon ,Teachers Icon ,Parent Engagement Icon ,Parent Environment Icon,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Total Score,Edge Score,
610034,Lawndale Elementary Community Academy,ES,3500 W Douglas Blvd ,Chicago,IL,60623,1,1,0,0,0,0,0,0,0,0,1,5,4,07,0,
609710,John M Harlan Community Academy High School,HS,9652 S Michigan Ave ,Chicago,IL,60628,1,1,0,0,0,0,0,0,0,0,1,5,4,07,0,
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl ,Chicago,IL,60614,1,5,5,5,4,4,4,4,4,3,6,5,6,51,5,
609854,Frederic Chopin Elementary School,ES,2450 W Rice St ,Chicago,IL,60622,5,1,5,5,5,5,5,5,3,3,6,5,6,54,5,
609821,Burnham Elementary Inclusive Academy,ES,1903 E 96th St ,Chicago,IL,60617,5,1,4,4,5,5,4,4,4,3,5,4,6,50,5,
610073,Ellen Mitchell Elementary School,ES,2233 W Ohio St ,Chicago,IL,60612,5,1,5,4,5,5,5,5,4,4,5,5,7,55,5,
609880,Stephen Decatur Classical Elementary School,ES,7030 N Sacramento Ave ,Chicago,IL,60645,5,1,5,5,5,5,5,5,3,2,6,5,5,52,5,
609782,John J Audubon Elementary School,ES,3500 N Hoyne Ave ,Chicago,IL,60618,5,1,5,4,4,4,4,4,4,3,6,5,6,50,5,
610084,Annie Keller Elementary Gifted Magnet School,ES,3020 W 108th St ,Chicago,IL,60655,5,1,5,5,5,5,5,5,4,4,7,5,6,57,5,
610249,Talman Elementary School,ES,5450 S Talman Ave ,Chicago,IL,60632,1,1,5,5,5,5,5,5,4,3,6,5,5,50,5,
609974,Hawthorne Elementary Scholastic Academy,ES,3319 N Clifton Ave ,Chicago,IL,60657,5,5,5,5,4,3,5,5,4,3,6,5,6,56,5,
609852,Eliza Chappell Elementary School,ES,2135 W Foster Ave ,Chicago,IL,60625,5,1,4,4,3,3,3,3,3,3,5,5,6,43,4,
610298,Lenart Elementary Regional Gifted Center,ES,8101 S LaSalle St ,Chicago,IL,60620,5,1,4,3,3,4,3,4,3,3,7,5,7,47,4,
609749,Northside College Preparatory High School,HS,5501 N Kedzie Ave ,Chicago,IL,60625,5,1,5,0,5,5,0,0,4,4,5,5,6,40,4,
610352,Durkin Park Elementary School,ES,8445 S Kolin Ave ,Chicago,IL,60652,1,1,4,4,3,3,5,4,3,2,5,5,5,40,4,
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave ,Chicago,IL,60625,5,1,4,2,4,4,3,3,2,3,7,5,6,44,4,
610243,John Calhoun North Elementary School,ES,2833 W Adams St ,Chicago,IL,60612,5,1,3,3,3,3,4,5,2,3,5,5,6,43,4,
610257,Morton School of Excellence,ES,431 N Troy St ,Chicago,IL,60612,1,1,3,3,4,4,5,5,3,4,3,3,7,43,4,
